"date","tmin","tmax","rain","year","month","day","wy"
01/01/42,-14.4444444444444,-5,20.828,1942,1,1,1942
01/02/42,-14.4444444444444,-0.555555555555556,0,1942,1,2,1942
01/03/42,-10,-1.11111111111111,0,1942,1,3,1942
01/04/42,-10,0.555555555555556,0,1942,1,4,1942
01/05/42,-9.44444444444444,2.22222222222222,0,1942,1,5,1942
01/06/42,-7.77777777777778,3.88888888888889,0,1942,1,6,1942
01/07/42,-2.22222222222222,6.66666666666667,0,1942,1,7,1942
01/08/42,-1.66666666666667,6.66666666666667,0,1942,1,8,1942
01/09/42,-2.77777777777778,11.6666666666667,0,1942,1,9,1942
01/10/42,-1.66666666666667,12.7777777777778,0,1942,1,10,1942
01/11/42,-1.11111111111111,13.8888888888889,0,1942,1,11,1942
01/12/42,-1.66666666666667,12.2222222222222,0,1942,1,12,1942
01/13/42,-2.22222222222222,11.1111111111111,0,1942,1,13,1942
01/14/42,-1.11111111111111,12.2222222222222,0,1942,1,14,1942
01/15/42,-2.77777777777778,10,0,1942,1,15,1942
01/16/42,-5.55555555555556,7.22222222222222,0,1942,1,16,1942
01/17/42,-6.66666666666667,8.88888888888889,0,1942,1,17,1942
01/18/42,-5,8.88888888888889,0,1942,1,18,1942
01/19/42,-5.55555555555556,11.1111111111111,0,1942,1,19,1942
01/20/42,-5,11.1111111111111,0,1942,1,20,1942
01/21/42,-3.33333333333333,7.77777777777778,0,1942,1,21,1942
01/22/42,-3.33333333333333,5.55555555555556,46.228,1942,1,22,1942
01/23/42,-7.22222222222222,0.555555555555556,6.096,1942,1,23,1942
01/24/42,-1.66666666666667,2.22222222222222,1.016,1942,1,24,1942
01/25/42,-1.11111111111111,8.33333333333333,10.668,1942,1,25,1942
01/26/42,-1.11111111111111,10.5555555555556,15.24,1942,1,26,1942
01/27/42,-0.555555555555556,9.44444444444444,14.986,1942,1,27,1942
01/28/42,-7.22222222222222,1.11111111111111,0,1942,1,28,1942
01/29/42,-6.66666666666667,3.88888888888889,0,1942,1,29,1942
01/30/42,-3.88888888888889,3.88888888888889,3.048,1942,1,30,1942
01/31/42,-6.11111111111111,3.33333333333333,0,1942,1,31,1942
02/01/42,-2.77777777777778,6.11111111111111,0,1942,2,1,1942
02/02/42,-1.66666666666667,7.22222222222222,11.938,1942,2,2,1942
02/03/42,-1.66666666666667,5.55555555555556,16.002,1942,2,3,1942
02/04/42,-2.22222222222222,1.11111111111111,4.572,1942,2,4,1942
02/05/42,-1.66666666666667,2.77777777777778,27.432,1942,2,5,1942
02/06/42,-2.22222222222222,3.33333333333333,4.318,1942,2,6,1942
02/07/42,-2.22222222222222,2.22222222222222,5.08,1942,2,7,1942
02/08/42,-10,3.88888888888889,0,1942,2,8,1942
02/09/42,-8.88888888888889,5.55555555555556,0,1942,2,9,1942
02/10/42,-6.66666666666667,5.55555555555556,0,1942,2,10,1942
02/11/42,-7.77777777777778,6.11111111111111,0,1942,2,11,1942
02/12/42,-8.88888888888889,1.66666666666667,25.146,1942,2,12,1942
02/13/42,-12.2222222222222,-1.11111111111111,5.842,1942,2,13,1942
02/14/42,-14.4444444444444,-3.33333333333333,0,1942,2,14,1942
02/15/42,-14.4444444444444,-1.11111111111111,0,1942,2,15,1942
02/16/42,-13.8888888888889,4.44444444444444,0,1942,2,16,1942
02/17/42,-11.1111111111111,3.33333333333333,0,1942,2,17,1942
02/18/42,-9.44444444444444,3.88888888888889,0,1942,2,18,1942
02/19/42,-7.77777777777778,4.44444444444444,0,1942,2,19,1942
02/20/42,-6.66666666666667,5.55555555555556,0,1942,2,20,1942
02/21/42,-5.55555555555556,4.44444444444444,2.286,1942,2,21,1942
02/22/42,-11.6666666666667,-1.11111111111111,45.212,1942,2,22,1942
02/23/42,-11.6666666666667,3.88888888888889,0,1942,2,23,1942
02/24/42,-12.7777777777778,2.22222222222222,0,1942,2,24,1942
02/25/42,-15,1.11111111111111,5.08,1942,2,25,1942
02/26/42,-9.44444444444444,5,0,1942,2,26,1942
02/27/42,-10,3.88888888888889,0,1942,2,27,1942
02/28/42,-12.2222222222222,5.55555555555556,0,1942,2,28,1942
03/01/42,-6.66666666666667,10.5555555555556,0,1942,3,1,1942
03/02/42,-3.88888888888889,8.88888888888889,0,1942,3,2,1942
03/03/42,-5,10.5555555555556,0,1942,3,3,1942
03/04/42,-3.88888888888889,12.7777777777778,0,1942,3,4,1942
03/05/42,-3.33333333333333,13.3333333333333,0,1942,3,5,1942
03/06/42,-5,9.44444444444444,0,1942,3,6,1942
03/07/42,-4.44444444444444,11.6666666666667,0,1942,3,7,1942
03/08/42,-3.33333333333333,11.1111111111111,0,1942,3,8,1942
03/09/42,-3.33333333333333,10.5555555555556,0,1942,3,9,1942
03/10/42,-1.66666666666667,9.44444444444444,0,1942,3,10,1942
03/11/42,-1.66666666666667,5,60.706,1942,3,11,1942
03/12/42,-2.22222222222222,3.33333333333333,16.51,1942,3,12,1942
03/13/42,-7.77777777777778,-1.11111111111111,22.606,1942,3,13,1942
03/14/42,-12.7777777777778,-2.22222222222222,17.272,1942,3,14,1942
03/15/42,-13.3333333333333,0.555555555555556,5.08,1942,3,15,1942
03/16/42,-10.5555555555556,3.88888888888889,0.762,1942,3,16,1942
03/17/42,-6.66666666666667,7.77777777777778,0,1942,3,17,1942
03/18/42,-5.55555555555556,6.66666666666667,0,1942,3,18,1942
03/19/42,-1.66666666666667,3.88888888888889,0,1942,3,19,1942
03/20/42,-8.88888888888889,6.11111111111111,0,1942,3,20,1942
03/21/42,-6.66666666666667,8.88888888888889,0,1942,3,21,1942
03/22/42,-6.66666666666667,7.77777777777778,0,1942,3,22,1942
03/23/42,-7.22222222222222,4.44444444444444,0,1942,3,23,1942
03/24/42,-5.55555555555556,2.77777777777778,3.048,1942,3,24,1942
03/25/42,-11.1111111111111,1.66666666666667,0,1942,3,25,1942
03/26/42,-11.6666666666667,5,0.508,1942,3,26,1942
03/27/42,-8.33333333333333,8.33333333333333,0,1942,3,27,1942
03/28/42,-5.55555555555556,10.5555555555556,0,1942,3,28,1942
03/29/42,-3.88888888888889,12.7777777777778,0,1942,3,29,1942
03/30/42,-2.22222222222222,15,0,1942,3,30,1942
03/31/42,-1.11111111111111,12.7777777777778,0,1942,3,31,1942
04/01/42,-4.44444444444444,7.22222222222222,0,1942,4,1,1942
04/02/42,-2.22222222222222,15.5555555555556,0,1942,4,2,1942
04/03/42,0.555555555555556,12.7777777777778,11.43,1942,4,3,1942
04/04/42,-2.77777777777778,10,55.88,1942,4,4,1942
04/05/42,-2.22222222222222,3.33333333333333,8.89,1942,4,5,1942
04/06/42,-1.66666666666667,5.55555555555556,5.08,1942,4,6,1942
04/07/42,-4.44444444444444,9.44444444444444,0,1942,4,7,1942
04/08/42,-2.22222222222222,10.5555555555556,0,1942,4,8,1942
04/09/42,-0.555555555555556,11.6666666666667,0,1942,4,9,1942
04/10/42,0,6.11111111111111,21.336,1942,4,10,1942
04/11/42,-1.66666666666667,10,0.254,1942,4,11,1942
04/12/42,-1.11111111111111,12.2222222222222,0,1942,4,12,1942
04/13/42,-0.555555555555556,11.6666666666667,0,1942,4,13,1942
04/14/42,-3.33333333333333,7.22222222222222,52.324,1942,4,14,1942
04/15/42,-5,11.1111111111111,0,1942,4,15,1942
04/16/42,-0.555555555555556,10,0,1942,4,16,1942
04/17/42,-7.22222222222222,5.55555555555556,19.558,1942,4,17,1942
04/18/42,-5,12.2222222222222,0,1942,4,18,1942
04/19/42,-0.555555555555556,16.6666666666667,0,1942,4,19,1942
04/20/42,1.11111111111111,15.5555555555556,0,1942,4,20,1942
04/21/42,1.11111111111111,13.3333333333333,0,1942,4,21,1942
04/22/42,-1.11111111111111,10,0.508,1942,4,22,1942
04/23/42,-4.44444444444444,5,4.826,1942,4,23,1942
04/24/42,-4.44444444444444,9.44444444444444,0,1942,4,24,1942
04/25/42,-3.88888888888889,7.77777777777778,0,1942,4,25,1942
04/26/42,-4.44444444444444,7.22222222222222,0,1942,4,26,1942
04/27/42,-3.33333333333333,7.22222222222222,6.096,1942,4,27,1942
04/28/42,-7.22222222222222,3.88888888888889,24.892,1942,4,28,1942
04/29/42,-11.6666666666667,2.22222222222222,6.858,1942,4,29,1942
04/30/42,-10.5555555555556,6.66666666666667,0,1942,4,30,1942
05/01/42,-2.77777777777778,4.44444444444444,15.748,1942,5,1,1942
05/02/42,-5.55555555555556,7.77777777777778,0,1942,5,2,1942
05/03/42,-2.77777777777778,11.1111111111111,0,1942,5,3,1942
05/04/42,-3.33333333333333,12.2222222222222,0,1942,5,4,1942
